id,name,price,type
31,item31,1000,1
32,item32,1001,1
33,item33,1002,1
34,item34,1003,1
35,item35,1004,1
36,item36,1005,1
37,item37,1006,1
38,item38,1007,1
39,item39,1008,1
40,item40,1009,1
41,item41,1010,2
42,item42,1011,2
43,item43,1012,2
44,item44,1013,2
45,item45,1014,2
46,item46,1015,2
47,item47,1016,2
48,item48,1017,2
49,item49,1018,2
50,item50,1019,2
51,item51,1020,3
52,item52,1021,3
53,item53,1022,3
54,item54,1023,3
55,item55,1024,3
56,item56,1025,3
57,item57,1026,3
58,item58,1027,3
59,item59,1028,3
60,item60,1029,3
