id,name,price,type
1,item1,1000,1
2,item2,1001,1
3,item3,1002,1
4,item4,1003,1
5,item5,1004,1
6,item6,1005,1
7,item7,1006,1
8,item8,1007,1
9,item9,1008,1
10,item10,1009,1
11,item11,1010,2
12,item12,1011,2
13,item13,1012,2
14,item14,1013,2
15,item15,1014,2
16,item16,1015,2
17,item17,1016,2
18,item18,1017,2
19,item19,1018,2
20,item20,1019,2
21,item21,1020,3
22,item22,1021,3
23,item23,1022,3
24,item24,1023,3
25,item25,1024,3
26,item26,1025,3
27,item27,1026,3
28,item28,1027,3
29,item29,1028,3
30,item30,1029,3
